thd_xvalues,thd_yvalues
1012.9870129870129,3.699606647223469e-05
1032.4675324675325,3.525087774311224e-05
1051.948051948052,4.4862070048022726e-05
1071.4285714285713,4.9430440995182414e-05
1090.9090909090908,4.367027969010927e-05
1110.3896103896104,4.188580903531774e-05
1129.8701298701299,4.374580724419615e-05
1149.3506493506493,3.6393118819667506e-05
1168.8311688311687,3.7926257596010544e-05
1188.3116883116882,4.161786479259511e-05
1207.7922077922078,3.797191643600124e-05
1227.2727272727273,4.125164252109724e-05
1246.7532467532467,3.8924525531652696e-05
1266.2337662337661,3.208162503404428e-05
1285.7142857142856,3.6810123524038656e-05
1305.1948051948052,3.9169996624071245e-05
1324.6753246753246,3.154199118902996e-05
1344.155844155844,2.932128583433556e-05
1363.6363636363635,3.310135306001305e-05
1383.116883116883,3.575975905593059e-05
1402.5974025974026,3.6453407951836515e-05
1422.077922077922,3.5514007016339454e-05
1441.5584415584415,3.869068176220068e-05
1461.038961038961,3.21534394929777e-05
1480.5194805194803,2.4021269047449866e-05
1500.0,2.789618346749643e-05
1519.4805194805194,3.71037238160778e-05
1538.9610389610389,3.642502940604787e-05
1558.4415584415583,3.3707982181784696e-05
1577.9220779220777,3.8414332558483405e-05
1597.4025974025974,3.409764143869133e-05
1616.8831168831168,2.9700790158481902e-05
1636.3636363636363,3.268541582205919e-05
1655.8441558441557,3.062901821205331e-05
1675.3246753246751,2.6546972631784818e-05
1694.8051948051948,2.715537214816418e-05
1714.2857142857142,2.8897920315025286e-05
1733.7662337662337,3.173682441928599e-05
1753.246753246753,3.758234173372525e-05
1772.7272727272725,3.632494084817357e-05
1792.2077922077922,2.6464870723421373e-05
1811.6883116883116,2.2983707886361806e-05
1831.168831168831,2.5169801576273777e-05
1850.6493506493505,2.9330899855429427e-05
1870.1298701298701,3.661343435931815e-05
1889.6103896103896,3.2321793332417105e-05
1909.090909090909,2.703988676096769e-05
1928.5714285714284,3.2579886790253474e-05
1948.0519480519479,3.195486998938419e-05
1967.5324675324675,2.797628851264273e-05
1987.012987012987,2.934403799088865e-05
2006.4935064935064,3.094808859063317e-05
2025.9740259740258,2.6514340141063926e-05
2045.4545454545453,2.4574708941197345e-05
2064.935064935065,2.9206033184589687e-05
2084.4155844155844,2.82100932919488e-05
2103.896103896104,2.708710366763841e-05
2123.3766233766232,3.2671330164863175e-05
2142.8571428571427,2.7017326232384998e-05
2162.337662337662,2.7423068438163575e-05
2181.8181818181815,3.7086962827684026e-05
2201.298701298701,3.085328767000519e-05
2220.779220779221,2.580079438872126e-05
2240.2597402597403,2.5099946821351477e-05
2259.7402597402597,2.7029469390217922e-05
2279.220779220779,2.9765661889404448e-05
2298.7012987012986,2.9930503387647453e-05
2318.181818181818,3.11360957801457e-05
2337.6623376623374,3.3231783863259574e-05
2357.142857142857,4.072057231186649e-05
2376.6233766233763,3.8930677045277916e-05
2396.1038961038957,3.727716384879293e-05
2415.5844155844156,2.980453631662776e-05
2435.064935064935,2.411502756955298e-05
2454.5454545454545,3.631471335034551e-05
2474.025974025974,2.9162620357106545e-05
2493.5064935064934,2.6656969187862466e-05
2512.987012987013,3.220697052348676e-05
2532.4675324675322,2.677166987590651e-05
2551.9480519480517,3.162437616202641e-05
2571.428571428571,3.230229773837488e-05
2590.909090909091,2.5701256878532914e-05
2610.3896103896104,2.3494589215579782e-05
2629.87012987013,2.5289731286312438e-05
2649.3506493506493,2.828327433887309e-05
2668.8311688311687,3.0254699372258814e-05
2688.311688311688,3.1016341108281665e-05
2707.7922077922076,3.9060063022234345e-05
2727.272727272727,4.050693540455386e-05
2746.7532467532465,3.527154225516771e-05
2766.233766233766,3.2387781327362794e-05
2785.714285714286,2.694693445704456e-05
2805.194805194805,2.905480331509328e-05
2824.6753246753246,2.9823980000317522e-05
2844.155844155844,2.8290231191424998e-05
2863.6363636363635,3.091238787008364e-05
2883.116883116883,3.266385363443238e-05
2902.5974025974024,4.208306266374712e-05
2922.077922077922,4.208968883951205e-05
2941.5584415584412,3.101843486285879e-05
2961.0389610389607,2.4708742731648338e-05
2980.5194805194806,2.1741228605613024e-05
3000.0,2.267455537302893e-05
3019.4805194805194,1.9698434086366546e-05
3038.961038961039,2.0083555921259626e-05
3058.4415584415583,2.9375856651677172e-05
